org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
reactioncommerce,example-storefront,0.21,1,40344,2.4786834E-5,3200000,663000,0.2071875,,,,1.0,40344.0,2.4786834E-5
rahvaalgatus,rahvaalgatus,0.21,,,,3105000,663000,0.21352658,,,,,,
qubvel,segmentation_models,0.21,2,40344,4.9573668E-5,3209000,663000,0.20660642,,,,2.0,40344.0,4.9573668E-5
ufna,VaFogOfWar,0.21,,,,3225500,663000,0.20554952,,,,,,
sharat-developer,workato_connector_sdk,0.21,29,40344,7.1881816E-4,3197333.2,663000,0.2073603,,,,29.0,40344.0,7.1881816E-4
usercont-release-bot,release-bot-test-PGKKPz82Hdj7pOhE,0.21,4,40344,9.9147335E-5,3222000,663000,0.20577282,,,,4.0,40344.0,9.9147335E-5
bblanchon,ArduinoJson,0.21,,,,3218000,663000,0.2060286,,,,,,
usercont-release-bot,release-bot-test-oBvfLRJJ6N6qmXKR,0.21,4,40344,9.9147335E-5,3208500,663000,0.20663862,,,,4.0,40344.0,9.9147335E-5
J2Kbr,GtunerIV,0.21,,,,3209000,663000,0.20660642,,,,,,
terraform-providers,terraform-provider-fortios,0.21,,,,3207000,663000,0.20673527,,,,,,
levislin2016,du-app-api,0.21,,,,3206000,663000,0.20679975,,,,,,
eCollect,vue-swipe-actions,0.21,,,,3187000,663000,0.20803264,,,,,,
getgauge,Intellij-Plugin,0.21,,,,3178000,663000,0.20862177,,,,,,
machyve,xhyve,0.21,,,,3173000,663000,0.20895052,,,,,,
goodrobots,maverick,0.21,,,,3171000,663000,0.2090823,,,,,,
davidyaha,graphql-mqtt-subscriptions,0.21,,,,3167000,663000,0.20934638,,,,,,
microsoft,Deep3DFaceReconstruction,0.21,,,,3161000,663000,0.20974375,,,,,,
alleyinteractive,apple-news,0.21,,,,3160000,663000,0.20981012,,,,,,
Toddlerstoyz,Toddlerstoyz,0.21,,,,3127000,663000,0.2120243,,,,,,
3drepo,3drepo.io,0.20,2,40344,4.9573668E-5,3246000,663000,0.2042514,,,,2.0,40344.0,4.9573668E-5
kodbruket,vsf-payment-klarna,0.20,5,40344,1.2393417E-4,3256000,663000,0.20362408,72000,0,0.0,2.5,40344.0,6.196708E-5
stegos,stegos,0.20,10,40344,2.4786833E-4,3356000,663000,0.19755661,2.2428666E7,0,0.0,3.3333333,40344.0,8.262278E-5
livewires,js-coding,0.20,5,40344,1.2393417E-4,3297000,663000,0.2010919,91000,0,0.0,1.6666666,40344.0,4.131139E-5
typetools,jdk,0.20,4,40344,9.9147335E-5,3269000,663000,0.20281431,,,,4.0,40344.0,9.9147335E-5
final-form,react-final-form-arrays,0.20,,,,3276000,663000,0.20238096,,,,,,
fullstacktf,PetDev-FrontEnd,0.20,9,40344,2.230815E-4,3334666.8,663000,0.19882047,19500,0,0.0,3.0,40344.0,7.43605E-5
cosanlab,nltools,0.20,1,40344,2.4786834E-5,3388000,663000,0.19569068,,,,1.0,40344.0,2.4786834E-5
intel-analytics,analytics-zoo,0.20,,,,3355000,663000,0.1976155,,,,,,
kroniak,feedback-service,0.20,2,40344,4.9573668E-5,3372000,663000,0.19661921,9000,0,0.0,2.0,40344.0,4.9573668E-5
pure-data,pure-data,0.20,,,,3366000,663000,0.1969697,,,,,,
expedition13,Core,0.20,1,40344,2.4786834E-5,3395500,663000,0.19525842,,,,1.0,40344.0,2.4786834E-5
AdaBrain,JobsCodeFair,0.20,,,,3258500,663000,0.20346785,,,,,,
